Claim  Number,0,1,2,3,4,5,6,k,lambda,1.1,2.1,3.1,4.1,5.1,6.1,7,Unnamed: 17,MSE0,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,R2
0,0.32580662164543805,0.32580662164543805,0.43017410095805275,0.8291542792254719,0.9967240196499365,0.9967240196499365,1.0,1.7761526154470542,3.1642055941932874,0.12122338195281879,0.35766249255902904,0.5973021966561669,0.7804573871650473,0.8949901175684212,0.9556484013216555,0.9833761878696223,,0.041854301963127706,0.0010147965116633724,0.027931800371678004,0.0023713872963446445,0.01034978683273135,0.0016872064210506136,0.00027635112974609173,0.08548563052634178
1,0.0,0.0,0.5807732512530234,0.6737284266075214,0.6737284266075214,0.9431669934104749,1.0,2.323361672578695,3.991408651857774,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.1279829337573888,0.0002763115929618729,0.011407154003551889,0.04897803962289387,0.0001564233410981954,0.00027596877976929744,0.20378208251040392
2,0.0,0.19032027838146007,0.36894421371772124,0.41988706037797247,0.41988706037797247,0.7278788795844985,0.9361181975724772,1.9374477020826517,5.322452686311522,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.028031715418234203,0.05219016116782695,0.13006528139211407,0.22576865663384182,0.051890582776194204,0.002234405095800882,0.5048860538967521
3,0.27140523794227317,0.5466551385681163,0.5810286869686581,0.6818819782430617,0.8946484829642269,1.0,1.0,1.2010602453792705,2.829283871910885,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.022542027673059493,0.03568627544524303,0.0002678848172007015,0.009731966001078129,1.5192132366761756e-07,0.001964800913163473,0.00027596877976929744,0.0704690755508378
4,0.16462438200579807,0.4141290930257215,0.509190848471533,0.509190848471533,0.5525014364783003,0.5675334241933097,0.9149133604143163,0.9286480175429956,5.0408447274697155,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.0018800177053523498,0.0031789376167579075,0.007780126560175212,0.07362640341074092,0.11733147123779526,0.15065304846928834,0.0046887340750494345,0.3591387390751594
5,0.0,0.0,0.0,0.0,0.21785681071842386,0.5498866554448943,0.9467748370197903,7.63200331865373,6.142234154735317,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.1279829337573888,0.3568818304869063,0.6092313044560708,0.45857470688748775,0.16466330824048261,0.0013405011438898944,1.7333798363849662
6,0.0,0.12209737043502185,0.14489558944955452,0.20217994791104948,0.3506994028575147,0.7568277094377267,0.984406247638897,4.767816806266222,5.648717683253468,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.014705251412739992,0.05553075960505874,0.20475650768084636,0.33449191228552305,0.29630478467226673,0.039539817496113204,1.0374557539976565e-06,0.9453300706083021
7,0.21223257077964922,0.2588737073450535,0.3344120663957491,0.3344120663957491,0.5635252307781007,0.7820837493941526,0.9615720709580134,1.783221355033459,5.039405828518955,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.008275060534878928,0.009775932905690005,0.0691604831565365,0.19902362469246762,0.10990088444948974,0.030133549112853663,0.00047592131792494025,0.42674545616984144
8,0.05701740900737475,0.24637564180800328,0.5748469869188885,0.6092436791257776,0.7467062747324882,0.9417755851764767,1.0,1.8269528652530058,3.7900985288686253,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.004127780068229677,0.01240358495083792,0.0005084523166999711,0.029339930578376326,0.022002376021409968,0.00019316385353185744,0.00027596877976929744,0.06885125656885502
9,0.15634771866889707,0.5592739725652455,0.5592739725652455,0.5592739725652455,1.0,1.0,1.0,1.4169915265629847,3.056673285816095,0.12126521105717003,0.357747024805782,0.5973958741796819,0.7805327055646488,0.8950382538246919,0.955673925132452,0.9833876919192637,,0.001230782340326886,0.04061311067324551,0.0014532793827007689,0.04895542692850126,0.011016968160169798,0.001964800913163473,0.00027596877976929744,0.10551033717787699
